vendor,product,version,date,url
others,us-24-250w,unknown,8/3/17,https://www.ui.com/downloads/unifi/firmware/US24P250/3.8.6.6650/US.bcm5334x.v3.8.6.6650.170712.2141.bin
others,us-24-250w,unknown,10/16/17,https://www.ui.com/downloads/unifi/firmware/US24P250/3.9.3.7537/US.bcm5334x.v3.9.3.7537.171013.1042.bin
others,us-24-250w,unknown,1/7/18,https://www.ui.com/downloads/unifi/firmware/US24P250/3.9.19.8123/US.bcm5334x.v3.9.19.8123.180104.1446.bin
others,us-24-250w,unknown,6/16/17,https://www.ui.com/downloads/unifi/firmware/US24P250/3.8.3.6587/US.bcm5334x.v3.8.3.6587.170609.0747.bin
others,us-24-250w,unknown,2/16/18,https://www.ui.com/downloads/unifi/firmware/US24P250/3.9.21.8191/US.bcm5334x.v3.9.21.8191.180119.2344.bin
others,us-24-250w,unknown,12/11/17,https://www.ui.com/downloads/unifi/firmware/US24P250/3.9.15.8011/US.bcm5334x.v3.9.15.8011.171208.1655.bin
others,us-24-250w,unknown,5/15/17,https://www.ui.com/downloads/unifi/firmware/US24P250/3.7.58.6385/US.bcm5334x.v3.7.58.6385.170508.0942.bin
others,us-24-250w,unknown,3/20/18,https://www.ui.com/downloads/unifi/firmware/US24P250/3.9.27.8537/US.bcm5334x.v3.9.27.8537.180317.1228.bin
others,us-24-250w,unknown,7/12/18,https://www.ui.com/downloads/unifi/firmware/US24P250/3.9.41.9107/US.bcm5334x.v3.9.41.9107.180624.2234.bin
others,us-24-250w,unknown,7/16/18,https://www.ui.com/downloads/unifi/firmware/US24P250/3.9.42.9152/US.bcm5334x.v3.9.42.9152.180709.2252.bin
others,us-24-250w,unknown,9/27/18,https://www.ui.com/downloads/unifi/firmware/US24P250/3.9.54.9373/US.bcm5334x.v3.9.54.9373.180914.0005.bin
others,us-24-250w,unknown,2/4/19,https://www.ui.com/downloads/unifi/firmware/US24P250/4.0.21.9965/US.bcm5334x.v4.0.21.9965.190125.1623.bin
